Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS
Date,,,,,,,,,,,,,,,,,,,,
2023-06-22,51.31999969482422,122.9478759765625,99382.0703125,542.7667236328125,52.65999984741211,123.01238694700854,100426.14389972309,548.5998029137497,51.16999816894531,118.70965894201572,99033.81510105636,540.9348202600779,52.099998474121094,119.76177312218508,99958.25007253667,546.0447890802325,13530760.0,20781900.0,250.0,14979063.0
2023-06-23,48.47999954223633,122.10419464111328,99038.78125,534.716064453125,51.36000061035156,122.52107377580943,99331.29942330012,541.9471691410787,48.20000076293945,120.95283400685402,98535.05654215143,533.9447583891194,51.31999969482422,121.13149432955272,99300.89600860002,541.8507779506582,36464145.0,29573100.0,141.0,12215712.0
2023-06-26,50.119998931884766,118.20346069335938,99418.234375,537.0782470703125,50.880001068115234,121.80644291417342,99729.3133853638,538.4762724386792,46.20000076293945,118.10420663282828,98799.2566601075,534.6196832000852,46.810001373291016,120.56178018394282,99032.7486493892,536.065904164558,40535955.0,23185000.0,121.0,8360264.0
2023-06-27,50.619998931884766,118.1240463256836,99129.8515625,545.8037109375,51.59000015258789,119.00245259613973,100093.35210386668,547.587418580515,50.40999984741211,116.0396810405121,98883.41283554063,535.7284196908937,51.0,116.96275049639515,99530.31352183278,538.2351788930695,13871575.0,27221700.0,246.0,10694768.0
2023-06-28,50.93000030517578,120.17864990234375,99975.4765625,549.37109375,51.77000045776367,120.36723034214155,100127.75803414064,553.4205239875774,50.599998474121094,116.7245526214777,99132.25212685582,548.1659096820828,50.79999923706055,117.08187329096727,99629.90399496253,551.7332662924933,22617090.0,19753100.0,220.0,18028934.0
2023-06-29,,119.11660766601562,,,,120.00990928045304,,,,118.32256010371597,,,,119.19600636416656,,,,18517500.0,,
2023-06-30,49.970001220703125,120.0694580078125,100768.7734375,552.3117065429688,51.31999969482422,121.12156457196598,101121.85741389326,553.4204993748917,49.79999923706055,119.98012406169832,99629.89721484183,549.7567517407397,51.20000076293945,120.19848751597893,100289.1381548215,553.4204993748917,13611440.0,23871800.0,349.0,8718232.0
2023-07-03,49.689998626708984,119.66250610351562,,564.4600219726562,50.45000076293945,120.11908079137234,,565.3277191936658,49.599998474121094,118.81387526794018,,553.3241329514472,50.45000076293945,119.42429486911182,,553.9025977654534,12506465.0,13888300.0,,15421985.0
2023-07-04,49.41999816894531,,,568.123779296875,50.34000015258789,,,574.5835777803604,49.2400016784668,,,561.3747484015366,49.79999923706055,,,567.1114364319501,11804025.0,,,24799250.0
2023-07-05,49.130001068115234,121.71710205078125,,569.4253540039062,49.880001068115234,122.45159871674345,,572.4142458484074,49.0099983215332,119.1662342196505,,567.1114358645187,49.41999816894531,119.1662342196505,,568.6540479574438,11058385.0,17830300.0,,13598114.0
2023-07-06,49.290000915527344,120.02975463867188,,571.2572631835938,49.68000030517578,120.24811809252589,,572.2214104632285,49.09000015258789,118.3622608495851,,567.9791388940837,49.130001068115234,119.7419125924642,,569.2325774351127,10940845.0,17732500.0,,11323509.0
2023-07-07,48.75,119.24564361572266,100712.4921875,572.3177490234375,49.540000915527344,120.84365893100839,101393.6220327965,574.1496522250379,48.560001373291016,119.19601280067435,100227.07947775893,564.5081803152976,49.0099983215332,119.99006040585206,100400.75996801582,568.8468426746808,9517015.0,20997700.0,235.0,11707209.0
2023-07-10,48.40999984741211,115.99996948242188,100109.234375,571.3536376953125,49.869998931884766,118.18358865637606,101222.77697958655,578.2955096754295,47.459999084472656,115.77167837471133,99960.879701642,569.0879151930579,48.939998626708984,118.18358865637606,100970.46750628499,573.3301866383733,22047580.0,32960100.0,200.0,11417363.0
